"company_name","canonical_company_name","public_company_name"
"&Collar","&Collar","JPMorgan Chase & Co."
"100 Percent Speedlab","100 Percent Speedlab","Visa Inc."
"a_dozen_cousins","A Dozen Cousins","Netflix Inc"
"a dozen cousins","A Dozen Cousins","Netflix Inc"
"A Dozen Cousins, LLC","A Dozen Cousins","Netflix Inc"
"A Dozen Cousins","A Dozen Cousins","20440"
"Actual Veggies","Actual Veggies","Microsoft Corp"
"__financial_screener__Actual Veggies","Actual Veggies","Microsoft Corp"
"Aesthetic Management Partners","Aesthetic Management Partners","Exxon Mobil Corporation"
"Aesthetic Revolution","Aesthetic Revolution","Mastercard Incorporated"
"Aesthetic Revolution LLC","Aesthetic Revolution","Mastercard Incorporated"
"Affy Tapple","Affy Tapple","Costco Wholesale Corp"
"Algenist LLC","Algenist","Walmart Inc."
"Algenist","Algenist","Walmart Inc."
"Alkaline88 Water","Alkaline88 Water","Procter & Gamble Company"
"Alleyoop","Alleyoop","UnitedHealth Group Incorporated"
"Alleyoop, Inc","Alleyoop","UnitedHealth Group Incorporated"
"Alleyoop, Inc.","Alleyoop","UnitedHealth Group Incorporated"
"Amberjack","Amberjack","Johnson & Johnson"
"Ami Cole","Ami Cole","Home Depot, Inc."
"Ami Colé","Ami Cole","Home Depot, Inc."
"Ana Luisa","Ana Luisa","AbbVie Inc."
"Another Tomorrow, Inc.","Another Tomorrow","Coca-Cola Company"
"Another Tomorrow","Another Tomorrow","Coca-Cola Company"
"Ash & Erie","Ash & Erie","Philip Morris International Inc."
"Ash & Erie, Inc","Ash & Erie","Philip Morris International Inc."
"Aura Bora, Inc.","Aura Bora","Bank of America Corporation"
"Aura Bora","Aura Bora","Bank of America Corporation"
"Aura Bora, Inc","Aura Bora","Bank of America Corporation"
"AURA BORA, INC,","Aura Bora","Bank of America Corporation"
"aura_bora_inc","Aura Bora","Bank of America Corporation"
"Awe Inspired","Awe Inspired","Salesforce, Inc."
"B.Joy Brands Petalura","B.Joy Brands Petalura","Palantir Technologies Inc. Class A"
"BURST.USA INC.","BURST.USA","Thermo Fisher Scientific, Inc."
"BURST.USA","BURST.USA","Thermo Fisher Scientific, Inc."
"Bala","Bala","Wells Fargo & Co."
"Bare Bones","Bare Bones","Cisco Systems, Inc."
"Baseball Lifestyle","Baseball Lifestyle","McDonald's Corporation"
"Baseball Lifestyle 101","Baseball Lifestyle","McDonald's Corporation"
"Be Well Nutrition","Be Well Nutrition","Oracle Corp"
"Be Well Nutrition Inc.","Be Well Nutrition","Oracle Corp"
"Bean Vivo","Bean Vivo","Chevron Corporation"
"Beautiisoles","Beautiisoles","Abbott Laboratories"
"Belgian Boys","Belgian Boys","GE Aerospace"
"financial_screener__Belgian Boys","Belgian Boys","GE Aerospace"
"Better Booch, LLC","Better Booch","Linde Plc"
"Better Booch","Better Booch","Linde Plc"
"Better Sour","Better Sour","Merck & Co., Inc."
"Beyond Better Foods","Beyond Better Foods","AT&T Inc."
"BiOptimizers","BiOptimizers","ServiceNow, Inc."
"Bioptimizers","Bioptimizers","43750"
"birddogs_inc","Birddogs","Accenture Plc"
"Birddogs","Birddogs","Accenture Plc"
"Birddogs Inc.","Birddogs","Accenture Plc"
"birddogs","Birddogs","Accenture Plc"
"Blue Tees Enterprises","Blue Tees","PepsiCo, Inc."
"Blue Tees Enterprises LLC","Blue Tees","PepsiCo, Inc."
"Blue Tees","Blue Tees","PepsiCo, Inc."
"Bluffworks","Bluffworks","Verizon Communications"
"bluffworks_inc","Bluffworks","Verizon Communications"
"Bluffworks, Inc.","Bluffworks","Verizon Communications"
"Bluffworks (Stefan Loble, LLC)","Bluffworks","Verizon Communications"
"Bobabam","Bobabam","International Business Machines Corporation"
"BEK Foods LLC (Bobabam)","Bobabam","International Business Machines Corporation"
"bek_foods_llc","Bobabam","International Business Machines Corporation"
"BEK Foods LLC","Bobabam","International Business Machines Corporation"
"Bodega","Bodega","Intuitive Surgical Inc."
"Body Restore","Body Restore","Intuit Inc"
"__financial_screener_Boldify","Boldify","Alphabet Inc. Class C"
"Boldify","Boldify","Alphabet Inc. Class C"
"Bonafide Provisions","Bonafide Provisions","Nvidia Corp"
"__financial_screener__Bonafied Provisions","Bonafide Provisions","Nvidia Corp"
"boomerang","Boomerang's Foods","Goldman Sachs Group Inc."
"Boomerang's Foods, Inc.","Boomerang's Foods","Goldman Sachs Group Inc."
"Boomerang Foods, Inc.","Boomerang's Foods","Goldman Sachs Group Inc."
"Boomerangs Foods","Boomerang's Foods","Goldman Sachs Group Inc."
"Boomerangs Foods, Inc.","Boomerang's Foods","Goldman Sachs Group Inc."
"Boomerang's Foods","Boomerang's Foods","Goldman Sachs Group Inc."
"Boomerang Foods","Boomerang's Foods","Goldman Sachs Group Inc."
"Bow & Drape Holdings","Bow & Drape Holdings","Uber Technologies, Inc."
"Bow & Drape Holdings, LLC","Bow & Drape Holdings","Uber Technologies, Inc."
"Brami","Brami","Booking Holdings Inc."
"Brew Dr.","Brew Dr.","RTX Corporation"
"Bubble Beauty, Inc.","Bubble Beauty","Progressive Corporation"
"Bubble Beauty","Bubble Beauty","Progressive Corporation"
"Bubble Beauty Inc.","Bubble Beauty","Progressive Corporation"
"Buffy Inc.","Buffy","The Walt Disney Company"
"Buffy","Buffy","The Walt Disney Company"
"Burke Decor","Burke Decor","Qualcomm Inc"
"CADDIS","CADDIS","Adobe Inc."
"CADDIS CO.","CADDIS","Adobe Inc."
"caddis_ifm_2025","CADDIS","Adobe Inc."
"CNI Brands","CNI Brands","The Charles Schwab Corporation"
"Campo","Campo Grande","Amazon.com Inc"
"Campo Grande","Campo Grande","Amazon.com Inc"
"__financial_screener__Campo Grande","Campo Grande","Amazon.com Inc"
"Carbone","Carbone","Advanced Micro Devices"
"Cariloha","Cariloha","S&P Global Inc."
"Carrington Farms","Carrington Farms","Amgen Inc"
"Cesta Collective","Cesta Collective","Boston Scientific Corp."
"Cherabundi","Cherabundi","American Express Company"
"Christy Dawn","Christy Dawn","Caterpillar Inc."
"The Citizenry","Citizenry","Texas Instruments Incorporated"
"Havenly CZ","Citizenry","Texas Instruments Incorporated"
